Date : 2021-10-12 14:27:46
Directory : c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content
Total : 515 files,  139201 codes, 34305 comments, 31127 blanks, all 204633 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\api\api-template.php                                | PHP        |        483 |        585 |        367 |      1,435 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\api\api-term.php                                    | PHP        |        203 |        235 |         85 |        523 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\assets.php                                          | PHP        |        239 |        309 |         67 |        615 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\class-acf-data.php                                  | PHP        |        102 |        207 |         48 |        357 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\compatibility.php                                   | PHP        |        186 |        227 |         76 |        489 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\deprecated.php                                      | PHP        |         45 |         89 |         21 |        155 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields.php                                          | PHP        |         98 |        210 |         73 |        381 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-accordion.php                | PHP        |         66 |         73 |         36 |        175 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-button-group.php             | PHP        |        133 |        103 |         64 |        300 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-checkbox.php                 | PHP        |        258 |        196 |        122 |        576 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-color_picker.php             | PHP        |        159 |         96 |         42 |        297 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-date_picker.php              | PHP        |        148 |         87 |         52 |        287 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-date_time_picker.php         | PHP        |        141 |         78 |         43 |        262 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-email.php                    | PHP        |         88 |         61 |         41 |        190 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-file.php                     | PHP        |        237 |        135 |         89 |        461 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-google-map.php               | PHP        |        166 |         95 |         52 |        313 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-group.php                    | PHP        |        239 |        269 |        163 |        671 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-image.php                    | PHP        |        261 |        121 |         71 |        453 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-link.php                     | PHP        |        110 |        114 |         68 |        292 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-message.php                  | PHP        |         75 |         77 |         49 |        201 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-number.php                   | PHP        |        142 |         91 |         75 |        308 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-oembed.php                   | PHP        |        147 |        126 |         72 |        345 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-output.php                   | PHP        |         24 |         31 |         24 |         79 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-page_link.php                | PHP        |        284 |        191 |        156 |        631 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-password.php                 | PHP        |         47 |         40 |         25 |        112 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-post_object.php              | PHP        |        248 |        207 |        137 |        592 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-radio.php                    | PHP        |        208 |        158 |         89 |        455 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-range.php                    | PHP        |        134 |         62 |         44 |        240 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-relationship.php             | PHP        |        420 |        225 |        166 |        811 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-select.php                   | PHP        |        309 |        208 |        122 |        639 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-separator.php                | PHP        |         19 |         43 |         27 |         89 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-tab.php                      | PHP        |         59 |         74 |         35 |        168 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-taxonomy.php                 | PHP        |        465 |        293 |        221 |        979 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-text.php                     | PHP        |         89 |         62 |         32 |        183 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-textarea.php                 | PHP        |        107 |         82 |         47 |        236 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-time_picker.php              | PHP        |         87 |         58 |         33 |        178 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-true_false.php               | PHP        |        147 |         92 |         58 |        297 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-url.php                      | PHP        |         66 |         61 |         45 |        172 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-user.php                     | PHP        |        196 |        222 |         60 |        478 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-wysiwyg.php                  | PHP        |        231 |        130 |         89 |        450 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field.php                          | PHP        |         84 |        130 |         62 |        276 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-attachment.php                           | PHP        |         86 |         93 |         58 |        237 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-comment.php                              | PHP        |        123 |        130 |         90 |        343 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-customizer.php                           | PHP        |        150 |        195 |        126 |        471 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-front.php                                | PHP        |        285 |        203 |        154 |        642 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-gutenberg.php                            | PHP        |         59 |         95 |         30 |        184 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-nav-menu.php                             | PHP        |        143 |        153 |        105 |        401 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-post.php                                 | PHP        |        127 |        153 |         60 |        340 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-taxonomy.php                             | PHP        |        152 |        157 |        101 |        410 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-user.php                                 | PHP        |        154 |        165 |         69 |        388 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\forms\form-widget.php                               | PHP        |        126 |        127 |         80 |        333 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\l10n.php                                            | PHP        |         52 |         83 |         19 |        154 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\legacy\legacy-locations.php                         | PHP        |         30 |         31 |         12 |         73 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\local-fields.php                                    | PHP        |        178 |        348 |         67 |        593 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\local-json.php                                      | PHP        |        122 |        158 |         42 |        322 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\local-meta.php                                      | PHP        |         76 |        150 |         31 |        257 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations.php                                       | PHP        |        118 |        189 |         37 |        344 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\abstract-acf-legacy-location.php          | PHP        |         34 |         22 |          9 |         65 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\abstract-acf-location.php                 | PHP        |         48 |        121 |         22 |        191 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-attachment.php         | PHP        |         42 |         38 |         17 |         97 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-comment.php            | PHP        |         31 |         31 |         10 |         72 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-current-user-role.php  | PHP        |         41 |         35 |         14 |         90 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-current-user.php       | PHP        |         41 |         31 |         10 |         82 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-nav-menu-item.php      | PHP        |         29 |         32 |         11 |         72 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-nav-menu.php           | PHP        |         51 |         37 |         16 |        104 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-page-parent.php        | PHP        |         30 |         32 |         11 |         73 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-page-template.php      | PHP        |         38 |         34 |         12 |         84 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-page-type.php          | PHP        |         71 |         34 |         18 |        123 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-page.php               | PHP        |         34 |         33 |         12 |         79 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-category.php      | PHP        |         28 |         39 |         10 |         77 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-format.php        | PHP        |         32 |         33 |         12 |         77 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-status.php        | PHP        |         38 |         34 |         13 |         85 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-taxonomy.php      | PHP        |         56 |         45 |         16 |        117 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-template.php      | PHP        |         64 |         46 |         17 |        127 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post-type.php          | PHP        |         40 |         43 |         15 |         98 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-post.php               | PHP        |         46 |         35 |         14 |         95 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-taxonomy.php           | PHP        |         37 |         41 |         13 |         91 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-user-form.php          | PHP        |         34 |         33 |         12 |         79 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-user-role.php          | PHP        |         40 |         36 |         13 |         89 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\locations\class-acf-location-widget.php             | PHP        |         35 |         33 |         12 |         80 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\loop.php                                            | PHP        |         91 |        172 |         92 |        355 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\media.php                                           | PHP        |         99 |        112 |         33 |        244 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\revisions.php                                       | PHP        |        150 |        176 |        132 |        458 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\third-party.php                                     | PHP        |         60 |         95 |         52 |        207 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\upgrades.php                                        | PHP        |        212 |        237 |         98 |        547 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\validation.php                                      | PHP        |        126 |        177 |        109 |        412 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\walkers\class-acf-walker-nav-menu-edit.php          | PHP        |         22 |         41 |         14 |         77 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\walkers\class-acf-walker-taxonomy-field.php         | PHP        |         44 |         75 |         15 |        134 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\advanced-custom-fields\includes\wpml.php                                            | PHP        |        126 |        136 |         57 |        319 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\plugins\index.php                                                                           | PHP        |          1 |          1 |          1 |          3 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\index.php                                                                            | PHP        |          1 |          1 |          1 |          3 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\.VSCodeCounter\2021-10-06_18-36-31\details.md                                | Markdown   |         25 |          0 |          6 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\.VSCodeCounter\2021-10-06_18-36-31\results.md                                | Markdown   |         18 |          0 |          7 |         25 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\.VSCodeCounter\2021-10-07_15-47-17\details.md                                | Markdown   |         30 |          0 |          6 |         36 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\.VSCodeCounter\2021-10-07_15-47-17\results.md                                | Markdown   |         20 |          0 |          7 |         27 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\archive-faq.php                                                              | PHP        |         42 |          0 |          4 |         46 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\archive-obra.php                                                             | PHP        |         44 |          0 |          2 |         46 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav.css                                                                  | CSS        |        235 |          3 |         37 |        275 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav_pre.css                                                              | CSS        |         76 |          2 |         15 |         93 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\obras.css                                                                | CSS        |         94 |          5 |         25 |        124 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\obras.scss                                                               | SCSS       |         44 |          0 |          8 |         52 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\style.css                                                                | CSS        |        438 |         15 |         97 |        550 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\utilities.css                                                            | CSS        |        327 |          9 |         55 |        391 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\customPage-grid.php                                                          | PHP        |        128 |          0 |         17 |        145 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\followalong.md                                                               | Markdown   |         10 |          0 |          6 |         16 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\footer.php                                                                   | PHP        |         21 |          0 |          3 |         24 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\front-page.php                                                               | PHP        |         75 |          0 |         12 |         87 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions-dynamic.php                                                        | PHP        |         20 |          2 |          4 |         26 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions.php                                                                | PHP        |         29 |          0 |         14 |         43 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header.php                                                                   | PHP        |         53 |          0 |          3 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header_dynamic.php                                                           | PHP        |         50 |          0 |          3 |         53 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\index.php                                                                    | PHP        |         45 |          0 |          2 |         47 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\accordion.js                                                              | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\counter.js                                                                | JavaScript |         35 |          2 |         12 |         49 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\devtools\forceRedirect.js                                                 | JavaScript |         16 |          3 |          5 |         24 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\devtools\sniffer.js                                                       | JavaScript |         10 |          1 |          1 |         12 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\nav.js                                                                    | JavaScript |         21 |          1 |          5 |         27 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\navbarScroll.js                                                           | JavaScript |         12 |          1 |          2 |         15 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\page.php                                                                     | PHP        |         30 |          0 |          4 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single-faq.php                                                               | PHP        |         23 |          0 |          3 |         26 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single-obra.php                                                              | PHP        |         50 |          0 |          5 |         55 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single.php                                                                   | PHP        |         26 |          0 |          2 |         28 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\style.css                                                                    | CSS        |          1 |         19 |          2 |         22 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\404.php                                                               | PHP        |         18 |          9 |          7 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\archive.php                                                           | PHP        |         25 |         19 |         12 |         56 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\classes\class-twentynineteen-svg-icons.php                            | PHP        |        350 |         43 |         66 |        459 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\classes\class-twentynineteen-walker-comment.php                       | PHP        |         87 |         27 |         17 |        131 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\comments.php                                                          | PHP        |         92 |         25 |         12 |        129 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\footer.php                                                            | PHP        |         39 |         12 |          7 |         58 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\functions.php                                                         | PHP        |        193 |        125 |         46 |        364 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\header.php                                                            | PHP        |         36 |         11 |          7 |         54 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\image.php                                                             | PHP        |         66 |         19 |         20 |        105 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\back-compat.php                                                   | PHP        |         40 |         45 |          5 |         90 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\block-patterns.php                                                | PHP        |        172 |         21 |          9 |        202 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\color-patterns.php                                                | PHP        |        154 |         95 |         23 |        272 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\customizer.php                                                    | PHP        |        103 |         39 |         16 |        158 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\helper-functions.php                                              | PHP        |        109 |         27 |         22 |        158 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\icon-functions.php                                                | PHP        |         52 |         41 |         15 |        108 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\template-functions.php                                            | PHP        |        120 |         63 |         29 |        212 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\inc\template-tags.php                                                 | PHP        |        168 |         61 |         30 |        259 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\index.php                                                             | PHP        |         20 |         17 |         11 |         48 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\js\customize-controls.js                                              | JavaScript |         17 |          8 |          6 |         31 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\js\customize-preview.js                                               | JavaScript |         35 |         16 |         10 |         61 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\js\priority-menu.js                                                   | JavaScript |        112 |         69 |         36 |        217 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\js\skip-link-focus-fix.js                                             | JavaScript |         19 |          9 |          6 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\js\touch-keyboard-navigation.js                                       | JavaScript |        180 |         98 |         77 |        355 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\package-lock.json                                                     | JSON       |      2,987 |          0 |          1 |      2,988 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\package.json                                                          | JSON       |         41 |          3 |          0 |         44 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\page.php                                                              | PHP        |         18 |         11 |         10 |         39 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\postcss.config.js                                                     | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\print.css                                                             | CSS        |        140 |         22 |          1 |        163 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\print.scss                                                            | SCSS       |        142 |         22 |         34 |        198 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\_normalize.scss                                                  | SCSS       |        143 |        126 |         73 |        342 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\blocks\_blocks.scss                                              | SCSS       |        784 |         71 |        189 |      1,044 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\elements\_elements.scss                                          | SCSS       |         73 |          0 |         20 |         93 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\elements\_lists.scss                                             | SCSS       |         26 |          0 |          8 |         34 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\elements\_tables.scss                                            | SCSS       |         12 |          0 |          2 |         14 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\forms\_buttons.scss                                              | SCSS       |         33 |          0 |          5 |         38 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\forms\_fields.scss                                               | SCSS       |         50 |          0 |          8 |         58 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\forms\_forms.scss                                                | SCSS       |          2 |          0 |          2 |          4 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\layout\_layout.scss                                              | SCSS       |          6 |          1 |          5 |         12 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\media\_captions.scss                                             | SCSS       |         27 |          0 |          6 |         33 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\media\_galleries.scss                                            | SCSS       |         41 |          2 |         10 |         53 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\media\_media.scss                                                | SCSS       |         29 |          6 |          7 |         42 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\mixins\_mixins-master.scss                                       | SCSS       |        102 |         13 |         27 |        142 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\mixins\_utilities.scss                                           | SCSS       |         42 |          0 |         10 |         52 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\modules\_accessibility.scss                                      | SCSS       |         34 |          2 |          3 |         39 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\modules\_alignments.scss                                         | SCSS       |         18 |          6 |          5 |         29 |
| c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentynineteen\sass\modules\_clearings.scss                                          | SCSS       |         22 |          0 |          2 |         24 |
